Building,Height (in Feet)
"Abraj Al Bait Towers, Saudi Arabia",1972
"BREN Tower, US",1516
"Burj Khalifa, Dubai",2722
Compliant Tower,2100
"Dimona Radar Facility, Israel",1312
"Ekibastuz GRES-2 Power Station, Kazakhstan",1377
Elevator test tower,898
"Kiev TV Tower, Ukraine",1263
"KVLY-TV mast, US",2063
Lualualei VLF transmitter,1503
"Petronas Twin Tower, Malaysia",1482
Tokyo Sky Tree,2080
"Zhoushan Island Overhead Powerline Tie, China",1214
